treatment,replicate,population,timestep,abundance
2,1,8,5,0.7236161128130162
2,1,8,6,0.7757846951168161
2,1,8,7,0.821047935475026
2,1,8,8,0.9080148684259517
2,1,8,9,0.8386062023648027
2,1,8,10,0.885722020404399
2,1,8,11,0.7162876584551279
2,1,8,12,1.2621369138642
2,1,8,13,1.2290664672201488
2,1,8,14,0.9661780065663435
2,1,8,15,0.9102631766801023
2,1,8,16,0.862099485447511
2,1,8,17,0.6328933079611146
2,1,8,18,1.0292185595681187
2,1,8,19,1.2590591350433005
2,1,8,20,1.495169406296838
2,1,8,21,1.0027473145152002
2,1,8,22,0.8446426553467239
2,1,8,23,0.9301977941068312
2,1,8,24,0.8873227201824653
2,1,8,25,1.0036969123914738
2,1,8,26,1.0910200931929213
2,1,8,27,0.7983807821635742
2,1,8,28,1.1626796588120685
2,1,8,29,1.1036819328140441
2,1,8,30,1.1944660151817967
3,1,1,1,0.5737358109401869
3,1,1,2,0.8018213852947301
3,1,1,3,0.8344013090707415
3,1,1,4,0.8506639170948951
3,1,1,5,1.0073061664987732
3,1,1,6,1.002433059789083
3,1,1,7,0.7257284530917378
3,1,1,8,0.8754394011358959
3,1,1,9,0.9711048601115309
3,1,1,10,0.7727375830988398
3,1,1,11,0.7393625282731421
3,1,1,12,0.9698263812510122
3,1,1,13,0.8699435415797541
3,1,1,14,1.1852354950552804
3,1,1,15,0.9963806251214875
3,1,1,16,0.9652311182836695
3,1,1,17,0.7965322543512695
3,1,1,18,1.020815813947065
3,1,1,19,0.9432667039268172
3,1,1,20,0.9623446602157144
3,1,1,21,1.0592515072419109
3,1,1,22,0.9027822219815663
3,1,1,23,0.8948662904210292
3,1,1,24,1.0440656470031506
3,1,1,25,1.3723785123676568
3,1,1,26,1.1319501836616959
3,1,1,27,1.0318356200883676
3,1,1,28,1.3981690821025694
3,1,1,29,0.991841218195101
3,1,1,30,0.9444379394623733
3,1,2,1,0.5934330416952074
3,1,2,2,0.8402742866261511
3,1,2,3,0.807389461564285
3,1,2,4,0.8425550691098824
3,1,2,5,1.0152879191847473
3,1,2,6,1.072029782485059
3,1,2,7,0.7291403042670219
3,1,2,8,0.901440082724577
3,1,2,9,0.9816663747886878
3,1,2,10,0.7543367935466729
3,1,2,11,0.7139861077094898
3,1,2,12,1.0052511102211963
3,1,2,13,0.8940321765072345
3,1,2,14,1.2316052220991618
3,1,2,15,0.9455978439223551
3,1,2,16,0.9726960652508309
3,1,2,17,0.7654895568220195
3,1,2,18,1.0522959467618374
3,1,2,19,0.9851171142160347
3,1,2,20,0.8751837443610282
3,1,2,21,1.091135728189022
3,1,2,22,0.8668052327409193
3,1,2,23,0.8784524756290459
3,1,2,24,1.1117062797890493
3,1,2,25,1.3169937237052214
3,1,2,26,1.0257563280323398
3,1,2,27,1.0296256433471709
3,1,2,28,1.404471690755043
3,1,2,29,0.9943158448899968
3,1,2,30,0.8974141855205124
4,1,1,1,0.7893138196330904
4,1,1,2,0.7596660567864852
4,1,1,3,0.8770009333186316
4,1,1,4,0.989965159336071
4,1,1,5,1.0437174573382584
4,1,1,6,0.9589038227724929
4,1,1,7,1.054386006125284
4,1,1,8,1.3006493412696873
4,1,1,9,1.154936809025315
4,1,1,10,1.0744558048924004
4,1,1,11,0.8961749494117532
4,1,1,12,0.9909187377460356
4,1,1,13,0.8935677548520541
4,1,1,14,1.0469513420707437
4,1,1,15,1.1663888944411018
4,1,1,16,1.0771720474535518
4,1,1,17,0.934241969311486
4,1,1,18,1.001160303482017
4,1,1,19,1.1903261594051209
4,1,1,20,0.9044861487636093
4,1,1,21,0.958266312129005
4,1,1,22,0.9336242719766885
4,1,1,23,0.9399149772455744
