treatment,replicate,summary_stat
8,49,0.17195370159218393
8,50,0.887662528654876
9,1,0.6752590923816297
9,2,0.756333822113522
9,3,0.6506997723349397
9,4,0.5416455822330283
9,5,0.6391162903713459
9,6,0.40580961101454344
9,7,0.42270634418030856
9,8,0.3258765494305366
9,9,0.7478179075305391
9,10,0.5929197341976443
9,11,0.42073299611448617
9,12,0.4661463331441306
9,13,0.787944918901828
9,14,0.22568707646857386
9,15,0.6572269023713501
9,16,0.5325006680070419
9,17,0.6217717104907899
9,18,0.8680589297458574
9,19,0.6438491155817021
9,20,0.38695776288230715
9,21,0.7556386236873553
9,22,0.823118457628513
9,23,0.8089155055410368
9,24,0.8904357991971364
9,25,0.7997770341567422
9,26,0.6734314977276625
9,27,0.5679310827458692
9,28,0.7484276337616335
9,29,0.4261468304937239
9,30,0.7244162695404595
9,31,0.6034976668202808
9,32,0.7537266936414331
9,33,0.3624990642068239
9,34,0.8012012323888819
9,35,0.6635875370529322
9,36,0.8060201114571174
9,37,0.8418634817852421
9,38,0.7663783469475115
9,39,0.36056591969918633
9,40,0.5733738464267596
9,41,0.9364283974832299
9,42,0.4275317112074391
9,43,0.37504132613393854
9,44,0.5534191137071867
9,45,0.533030400795608
9,46,0.4499307466925667
9,47,0.6550206426178838
9,48,0.45236761614763354
9,49,0.754740178768076
9,50,0.7022072206026769
10,1,0.9275068631623393
10,2,0.5632177740025729
10,3,0.5768374280984353
10,4,0.8449529223851079
10,5,0.7093775941019319
10,6,0.9209589142587313
10,7,0.9070103611692402
10,8,0.8418826676933725
10,9,0.5955082876881909
10,10,0.7655170544066713
10,11,0.5668390187174569
10,12,0.7083351443449605
10,13,0.8800081891218697
10,14,0.8285990820245586
10,15,0.8783086903005368
10,16,0.6166688674167898
10,17,0.5741349497228404
10,18,0.30742418771897073
10,19,0.5822564521728029
10,20,0.6163478820176646
10,21,0.789294515649308
10,22,0.7436020078590027
10,23,0.6233483827551423
10,24,0.4604705499890775
10,25,0.8397538451642873
10,26,0.6742895696523117
10,27,0.7707341851593745
10,28,0.3945425392482718
10,29,0.8529713989472499
10,30,0.8190208810107111
10,31,0.9220560709490142
10,32,0.5752910672992343
10,33,0.5635553508223219
10,34,0.8645527922498373
10,35,0.819080530443192
10,36,0.8358080560406191
10,37,0.602336233417992
10,38,0.5167626818542687
10,39,0.8404057719112542
10,40,0.8424332229972956
10,41,0.579550379538869
10,42,0.7441004893912585
10,43,0.5636170356489896
10,44,0.8443791517796135
10,45,0.7276236531891542
10,46,0.7071093804722921
10,47,0.8702475466537378
10,48,0.8931202251520391
10,49,0.8588515560082582
10,50,0.6089206701377557
11,1,0.4355246568111474
11,2,0.7971583049827451
11,3,0.5154811826539647
11,4,0.6856181962897967
11,5,0.6324493525976901
11,6,0.6160811288276256
11,7,0.6122694957445861
11,8,0.7335709467682324
11,9,0.49642495036352113
11,10,0.9391227263493171
11,11,0.8291492025213467
11,12,0.9170987005874077
11,13,0.6570344847786602
11,14,0.6591176893901415
11,15,0.895588892406658
11,16,0.7903952202541249
11,17,0.8048609596805304
11,18,0.7588132617726175
11,19,0.8140758517573929
11,20,0.3473882609278268
11,21,0.8557844361046784
11,22,0.7425619700618714
11,23,0.8399642549059432
11,24,0.728293499244288
11,25,0.8038834369891666
11,26,0.5614098532552416
11,27,0.6434622193558421
11,28,0.7427439134864358
11,29,0.6526651077718637
11,30,0.5720549286901352
11,31,0.45437071559301356
11,32,0.8398122841800021
11,33,0.7522090936104329
11,34,0.8236542217210553
11,35,0.48301099297677363
11,36,0.7294826167539693
11,37,0.7506358725976965
11,38,0.8416607774557222
11,39,0.7642507629689769
11,40,0.6966641883655379
11,41,0.7258055438862617
11,42,0.4559179543632125
11,43,0.9333710989285872
11,44,0.7443760682489092
11,45,0.5316970741505098
11,46,0.6483507529567774
11,47,0.7453668437856443
11,48,0.7830528692246003
11,49,0.6302954175617586
11,50,0.8805641730331696
12,1,0.6716006592120213
12,2,0.595216324875618
12,3,0.8943055966668209
12,4,0.8214282339705186
12,5,0.4518174556489188
12,6,0.770470514571067
12,7,0.797240924109413
12,8,0.6029147249472795
12,9,0.7960350749486321
12,10,0.5722137920548676
12,11,0.5911285767596263
12,12,0.7010886163889656
12,13,0.7361666879612162
12,14,0.5294348086913955
12,15,0.9028099170774982
12,16,0.565174661633986
12,17,0.6611831283020032
12,18,0.6499784771820275
12,19,0.6566495720210591
12,20,0.6819784723567517
12,21,0.8379115305966658
12,22,0.8409489787776574
12,23,0.7404024955254447
12,24,0.7914568149832331
12,25,0.7558255947163173
